Number,symbol,Description
0,NULL,(Null character)
1,SOH,(Start of Header)
2,STX,(Start of Text)
3,ETX,(End of Text)
4,EOT,(End of Transmission)
5,ENQ,(Enquiry)
6,ACK,(Acknowledgement)
7,BEL,(Bell)
8,BS,(Backspace)
9,HT,(Horizontal Tab)
10,LF,(Line feed)
11,VT,(Vertical Tab)
12,FF,(Form feed)
13,CR,(Carriage return)
14,SO,(Shift Out)
15,SI,(Shift In)
16,DLE,(Data link escape)
17,DC1,(Device control 1)
18,DC2,(Device control 2)
19,DC3,(Device control 3)
20,DC4,(Device control 4)
21,NAK,(Negative acknowledgement)
22,SYN,(Synchronous idle)
23,ETB,(End of transmission block)
24,CAN,(Cancel)
25,EM,(End of medium)
26,SUB,(Substitute)
27,ESC,(Escape)
28,FS,(File separator)
29,GS,(Group separator)
30,RS,(Record separator)
31,US,(Unit separator)
32, ,(Space)
33,!,(Exclamation mark)
34,"""",(Quotation mark ; quotes)
35,#,(Number sign)
36,$,(Dollar sign)
37,%,(Percent sign)
38,&,(Ampersand)
39,',(Apostrophe)
40,RBO,(round brackets or parentheses)
41,RBC,(round brackets or parentheses)
42,*,(Asterisk)
43,+,(Plus sign)
44,",",(Comma)
45,-,(Hyphen)
46,.,"(Dot , full stop)"
47,/,(Slash)
48,0,(number zero)
49,1,(number one)
50,2,(number two)
51,3,(number three)
52,4,(number four)
53,5,(number five)
54,6,(number six)
55,7,(number seven)
56,8,(number eight)
57,9,(number nine)
58,:,(Colon)
59,;,(Semicolon)
60,<,(Less-than sign)
61,=,(Equals sign)
62,>,(Greater-than sign ; Inequality) 
63,?,(Question mark)
64,@,(At sign)
65,A,(Capital A)
66,B,(Capital B)
67,C,(Capital C)
68,D,(Capital D)
69,E,(Capital E)
70,F,(Capital F)
71,G,(Capital G)
72,H,(Capital H)
73,I,(Capital I)
74,J,(Capital J)
75,K,(Capital K)
76,L,(Capital L)
77,M,(Capital M)
78,N,(Capital N)
79,O,(Capital O)
80,P,(Capital P)
81,Q,(Capital Q)
82,R,(Capital R)
83,S,(Capital S)
84,T,(Capital T)
85,U,(Capital U)
86,V,(Capital V)
87,W,(Capital W)
88,X,(Capital X)
89,Y,(Capital Y)
90,Z,(Capital Z)
91,SQO,(square brackets or box brackets)
92,\\,(Backslash)
93,SQC,(square brackets or box brackets)
94,^,(Caret or circumflex accent)
95,_,"(underscore , understrike , underbar or low line)"
96,`,(Grave accent)
97,a,(Lowercase  a )
98,b,(Lowercase  b )
99,c,(Lowercase  c )
100,d,(Lowercase  d )
101,e,(Lowercase  e )
102,f,(Lowercase  f )
103,g,(Lowercase  g )
104,h,(Lowercase  h )
105,i,(Lowercase  i )
106,j,(Lowercase  j )
107,k,(Lowercase  k )
108,l,(Lowercase  l )
109,m,(Lowercase  m )
110,n,(Lowercase  n )
111,o,(Lowercase  o )
112,p,(Lowercase  p )
113,q,(Lowercase  q )
114,r,(Lowercase  r )
115,s,(Lowercase  s )
116,t,(Lowercase  t )
117,u,(Lowercase  u )
118,v,(Lowercase  v )
119,w,(Lowercase  w )
120,x,(Lowercase  x )
121,y,(Lowercase  y )
122,z,(Lowercase  z )
123,{,(curly brackets or braces)
124,|,"(vertical-bar, vbar, vertical line or vertical slash)"
125,},(curly brackets or braces)
126,~,(Tilde ; swung dash)
127,DEL,(Delete)